date,day_of_week,WeekStatus,NSM,Load_Type,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor
2018-01-01 00:00:00,Monday,Weekday,0,Light_Load,9.686421868912348,3.103,0.359,0.004869,97.09,90.87
2018-01-01 00:15:00,Monday,Weekday,900,Medium_Load,27.644969381537383,6.567,0.082,0.013918,88.09,90.01
2018-01-01 00:30:00,Monday,Weekday,1800,Medium_Load,28.058909472007954,9.929,0.68,0.01416,96.38,97.72
2018-01-01 00:45:00,Monday,Weekday,2700,Light_Load,7.517249820035539,2.228,0.153,0.003698,68.49,90.16
2018-01-01 01:00:00,Monday,Weekday,3600,Light_Load,6.758666815944449,2.546,0.319,0.003247,68.67,91.53
2018-01-01 01:15:00,Monday,Weekday,4500,Light_Load,6.123384919205989,2.375,0.167,0.00299,76.58,98.53
2018-01-01 01:30:00,Monday,Weekday,5400,Light_Load,5.83233173461851,1.613,0.259,0.002875,83.27,90.8
2018-01-01 01:45:00,Monday,Weekday,6300,Medium_Load,24.94830980736725,5.782,0.111,0.012693,95.24,96.47
2018-01-01 02:00:00,Monday,Weekday,7200,Light_Load,7.371970812824781,2.219,0.206,0.003584,93.04,99.64
2018-01-01 02:15:00,Monday,Weekday,8100,Medium_Load,22.524088552533502,5.723,0.779,0.011305,81.92,90.69
2018-01-01 02:30:00,Monday,Weekday,9000,Light_Load,4.568645738591286,1.303,0.035,0.002371,94.9,98.5
2018-01-01 02:45:00,Monday,Weekday,9900,Medium_Load,24.673731723224254,6.797,1.046,0.012321,71.37,94.53
2018-01-01 03:00:00,Monday,Weekday,10800,Medium_Load,23.69740714616851,6.874,1.042,0.01181,84.21,92.72
2018-01-01 03:15:00,Monday,Weekday,11700,Light_Load,4.575899080154403,1.371,0.155,0.002413,70.2,98.13
2018-01-01 03:30:00,Monday,Weekday,12600,Light_Load,10.491713040264223,3.415,0.273,0.005218,98.26,97.64
2018-01-01 03:45:00,Monday,Weekday,13500,Light_Load,13.316278252475746,2.673,0.462,0.006594,89.32,92.32
2018-01-01 04:00:00,Monday,Weekday,14400,Light_Load,10.887764641952675,2.736,0.155,0.005386,87.96,98.79
2018-01-01 04:15:00,Monday,Weekday,15300,Light_Load,5.839435964971868,1.367,0.032,0.002988,96.91,93.26
2018-01-01 04:30:00,Monday,Weekday,16200,Light_Load,7.84931094623019,2.685,0.217,0.003905,71.35,92.34
2018-01-01 04:45:00,Monday,Weekday,17100,Light_Load,12.621286855062383,4.625,0.305,0.006372,86.37,95.62
2018-01-01 05:00:00,Monday,Weekday,18000,Light_Load,4.47890107166752,1.546,0.096,0.002216,67.42,90.77
